row_index,conversation_id,scenario_type,speaker,dialogue
81,S006,Savings,Customer,"I'm interested in group savings. Does MTN have any options for my village savings group?"
82,S006,Savings,Bot,"Yes! MTN offers MoKash Group Savings specifically designed for village savings groups like yours. It allows multiple members to contribute to a shared savings goal while maintaining transparency and earning interest. Would you like to know more about how to set up a group savings account?"
83,S006,Savings,Customer,"Yes, our group has 15 members and we meet weekly to contribute. How can we set this up?"
84,S006,Savings,Bot,"Perfect! For your 15-member group, here's how to set up MTN Group Savings: 1) Register your group by dialing *165*5*8# 2) Select a group admin (usually the chairperson) 3) Set weekly contribution amounts 4) Choose a savings period 5) Members can contribute via Mobile Money Each member will receive SMS confirmations, and the admin gets group progress reports. Would you like to register your group now?"
85,S006,Savings,Customer,"Yes, I'm the chairperson so I'll be the admin. How much does it cost to register?"
86,S006,Savings,Bot,"There's no registration fee for setting up an MTN Group Savings account. All you need is for each member to have an active MTN Mobile Money account. As the admin, you'll have additional permissions to view all contributions and manage group settings. How much is the typical weekly contribution from each member?"
87,S006,Savings,Customer,"We usually contribute UGX 10,000 per person each week."
88,S006,Savings,Bot,"With 15 members contributing UGX 10,000 weekly, your group will save UGX 150,000 per week or about UGX 600,000 per month. At our 4.5% annual interest rate for group savings, you could earn approximately UGX 27,000 in interest each month. To register, I'll need the group's name and a list of members' MTN numbers. What's your group called?"
89,S006,Savings,Customer,"We're called Bwaise Women's Development Association."
90,S006,Savings,Bot,"Thank you. To register Bwaise Women's Development Association, I'll need the phone numbers of all 15 members. You can either provide them now, or we can start with just a few members and add the rest later through the group management menu. How would you prefer to proceed?"
91,S006,Savings,Customer,"Let's start with 5 main members now and add the rest later. Here are the numbers: 0771234567, 0772345678, 0773456789, 0774567890, and mine which is this number."
92,S006,Savings,Bot,"Thank you. I'll register Bwaise Women's Development Association with the 5 initial members. To complete the setup, please specify: 1) The weekly contribution amount (UGX 10,000 per member) 2) The day of the week for contributions 3) Your savings goal duration (3 months, 6 months, or 12 months) When would you like the weekly contributions to be collected?"
93,S006,Savings,Customer,"We meet every Saturday, so let's set Saturday as our contribution day. And we want to save for 6 months."
94,S006,Savings,Bot,"Great! To summarize: I'm setting up Bwaise Women's Development Association as a Group Savings account with 5 initial members (expandable to 15). Each member will contribute UGX 10,000 every Saturday for a 6-month period. The group will earn 4.5% annual interest. Total expected savings after 6 months: approximately UGX 1,320,000 plus interest. Please enter your PIN to confirm this setup."
95,S006,Savings,Customer,"PIN entered."
96,S006,Savings,Bot,"Thank you! The Bwaise Women's Development Association Group Savings account has been successfully created. As the admin, you'll receive weekly contribution reports and monthly interest updates. All members will be notified about the new group via SMS. The first contribution date is this Saturday, March 15, 2025. Would you like me to explain how to add the remaining 10 members to your group?"
97,S006,Savings,Customer,"Yes, please tell me how to add the other members."
98,S006,Savings,Bot,"To add the remaining members, you have two options: 1) Dial *165*5*8*3# and follow the prompts to add members one by one by entering their MTN numbers 2) Send me the list of numbers, and I can add them for you now Each new member will receive an SMS invitation to join the group, which they must accept. As admin, you can also set contribution reminders and view individual contribution records. Which method would you prefer to use?"
99,S006,Savings,Customer,"I'll collect all the numbers and use the USSD code later this week. Do members have to contribute exactly UGX 10,000 or can they add more sometimes?"
100,S006,Savings,Bot,"Members can contribute more than the minimum UGX 10,000 whenever they wish! While the system will automatically request the minimum amount weekly, any member can make additional contributions by dialing *165*5*8*2# and selecting your group. Extra contributions boost the group's interest earnings. The system will track each member's total contributions separately. Would you like to enable contribution flexibility notifications to remind members of this option?"
101,S006,Savings,Customer,"Yes, that would be helpful for our members."
102,S006,Savings,Bot,"I've enabled contribution flexibility notifications for your group. Members will receive weekly reminders about the minimum UGX 10,000 contribution and the option to contribute more. Based on your group size and savings pattern, you might also be interested in our 'Village Banking' product which includes micro-loans for members. Would you like information about adding lending capabilities to your group?"
103,S006,Savings,Customer,"That sounds interesting. Please tell me more about the Village Banking option."
104,S006,Savings,Bot,"MTN Village Banking extends your group savings with microfinancing capabilities. After 3 months of consistent saving, your group can activate lending functionality where members can borrow up to 3 times their individual contribution total at just 5% interest. Loans are approved by group vote through the mobile platform. Repayments go back into the group fund, increasing everyone's returns. The setup requires additional documentation for security. Would you like to schedule a Village Banking orientation session for your group?"
105,S006,Savings,Customer,"Yes, let's schedule an orientation for next Saturday after our regular meeting, around 3 PM."
106,S006,Savings,Bot,"Perfect! I've scheduled a Village Banking orientation session for Bwaise Women's Development Association on Saturday, March 15, 2025, at 3 PM. An MTN representative will call you to confirm the location details. They'll explain the complete Village Banking features, documentation requirements, and answer any questions your members might have. Is there a specific aspect of Village Banking you're most interested in learning about during the orientation?"
107,L001,Loans/Overdraft,Customer,"I need to pay for some emergency medical expenses. Can I get a quick loan through MTN?"
108,L001,Loans/Overdraft,Bot,"I'm sorry to hear about the emergency. Yes, MTN MoKash offers quick loans to eligible customers. Based on your Mobile Money transaction history, you may qualify for a loan. Would you like to check your loan eligibility and available amount?"
109,L001,Loans/Overdraft,Customer,"Yes, please check how much I can borrow."
110,L001,Loans/Overdraft,Bot,"Let me check your eligibility. Based on your Mobile Money history and transaction patterns, you're eligible for a loan of up to UGX 300,000. Loans are repayable within 30 days with a service fee of 9%. For example, if you borrow UGX 100,000, you'll need to repay UGX 109,000 within 30 days. How much would you like to borrow?"
111,L001,Loans/Overdraft,Customer,"I need UGX 200,000 for the medical expenses."
112,L001,Loans/Overdraft,Bot,"I can process a loan of UGX 200,000 for you. The total amount to repay will be UGX 218,000 within 30 days. The loan will be instantly deposited into your Mobile Money wallet if approved. Would you like to proceed with the loan application?"
113,L001,Loans/Overdraft,Customer,"Yes, please proceed."
114,L001,Loans/Overdraft,Bot,"To apply for the UGX 200,000 loan, please confirm by entering your Mobile Money PIN."
115,L001,Loans/Overdraft,Customer,"PIN entered."
116,L001,Loans/Overdraft,Bot,"Thank you. Your loan application is being processed... I'm pleased to inform you that your loan has been approved! UGX 200,000 has been deposited into your Mobile Money wallet. The repayment amount of UGX 218,000 is due by April 8, 2025. You'll receive reminders as the due date approaches. Would you like to set up automatic repayment from your Mobile Money account?"
117,L001,Loans/Overdraft,Customer,"Yes, that would be helpful."
